,Feature,Importance
760,BaryszMatrix.96,0
761,BaryszMatrix.97,0
762,BaryszMatrix.98,0
763,BaryszMatrix.99,0
764,BaryszMatrix.100,0
765,BaryszMatrix.101,0
766,BaryszMatrix.102,1
767,BaryszMatrix.103,0
768,BertzCT,0
769,BondCount,1
770,BondCount.1,0
771,BondCount.2,0
772,BondCount.3,0
773,BondCount.4,0
774,BondCount.5,0
775,BondCount.6,0
776,BondCount.7,0
777,BondCount.8,0
778,RNCG,6
779,RPCG,0
780,CarbonTypes,0
781,CarbonTypes.1,0
782,CarbonTypes.2,2
783,CarbonTypes.3,3
784,CarbonTypes.4,0
785,CarbonTypes.5,0
786,CarbonTypes.6,6
787,CarbonTypes.7,0
788,CarbonTypes.8,0
789,HybridizationRatio,1
790,FractionCSP3,0
791,Chi,0
792,Chi.1,0
793,Chi.2,0
794,Chi.3,1
795,Chi.4,37
796,Chi.5,0
797,Chi.6,0
798,Chi.7,1
799,Chi.8,3
800,Chi.9,18
801,Chi.10,0
802,Chi.11,0
803,Chi.12,0
804,Chi.13,0
805,Chi.14,1
806,Chi.15,0
807,Chi.16,1
808,Chi.17,0
809,Chi.18,0
810,Chi.19,0
811,Chi.20,1
812,Chi.21,0
813,Chi.22,0
814,Chi.23,3
815,Chi.24,0
816,Chi.25,0
817,Chi.26,1
818,Chi.27,0
819,Chi.28,1
820,Chi.29,2
821,Chi.30,2
822,Chi.31,8
823,Chi.32,1
824,Chi.33,2
825,Chi.34,4
826,Chi.35,9
827,Chi.36,0
828,Chi.37,5
829,Chi.38,2
830,Chi.39,1
831,Chi.40,0
832,Chi.41,0
833,Chi.42,0
834,Chi.43,0
835,Chi.44,1
836,Chi.45,1
837,Chi.46,7
838,Chi.47,6
839,Chi.48,4
840,Chi.49,1
841,Chi.50,0
842,Chi.51,1
843,Chi.52,1
844,Chi.53,8
845,Chi.54,5
846,Chi.55,5
847,ConstitutionalSum,0
848,ConstitutionalSum.1,0
849,ConstitutionalSum.2,0
850,ConstitutionalSum.3,0
851,ConstitutionalSum.4,0
852,ConstitutionalSum.5,0
853,ConstitutionalSum.6,0
854,ConstitutionalSum.7,0
855,ConstitutionalMean,0
856,ConstitutionalMean.1,0
857,ConstitutionalMean.2,0
858,ConstitutionalMean.3,6
859,ConstitutionalMean.4,4
860,ConstitutionalMean.5,4
861,ConstitutionalMean.6,1
862,ConstitutionalMean.7,0
863,DistanceMatrix,0
864,DistanceMatrix.1,0
865,DistanceMatrix.2,1
866,DistanceMatrix.3,0
867,DistanceMatrix.4,1
868,DistanceMatrix.5,0
869,DistanceMatrix.6,0
870,DistanceMatrix.7,0
871,DistanceMatrix.8,0
872,DistanceMatrix.9,0
873,DistanceMatrix.10,0
