,Feature,Importance
653,Morgan_fp_653,0
654,Morgan_fp_654,0
655,Morgan_fp_655,0
656,Morgan_fp_656,1
657,Morgan_fp_657,0
658,Morgan_fp_658,0
659,Morgan_fp_659,0
660,Morgan_fp_660,0
661,Morgan_fp_661,0
662,Morgan_fp_662,0
663,Morgan_fp_663,0
664,Morgan_fp_664,0
665,Morgan_fp_665,0
666,Morgan_fp_666,0
667,Morgan_fp_667,0
668,Morgan_fp_668,7
669,Morgan_fp_669,0
670,Morgan_fp_670,0
671,Morgan_fp_671,0
672,Morgan_fp_672,0
673,Morgan_fp_673,0
674,Morgan_fp_674,0
675,Morgan_fp_675,1
676,Morgan_fp_676,0
677,Morgan_fp_677,0
678,Morgan_fp_678,0
679,Morgan_fp_679,0
680,Morgan_fp_680,1
681,Morgan_fp_681,0
682,Morgan_fp_682,0
683,Morgan_fp_683,0
684,Morgan_fp_684,0
685,Morgan_fp_685,0
686,Morgan_fp_686,0
687,Morgan_fp_687,0
688,Morgan_fp_688,0
689,Morgan_fp_689,5
690,Morgan_fp_690,0
691,Morgan_fp_691,0
692,Morgan_fp_692,0
693,Morgan_fp_693,0
694,Morgan_fp_694,0
695,Morgan_fp_695,0
696,Morgan_fp_696,0
697,Morgan_fp_697,0
698,Morgan_fp_698,0
699,Morgan_fp_699,0
700,Morgan_fp_700,0
701,Morgan_fp_701,0
702,Morgan_fp_702,0
703,Morgan_fp_703,0
704,Morgan_fp_704,0
705,Morgan_fp_705,0
706,Morgan_fp_706,0
707,Morgan_fp_707,0
708,Morgan_fp_708,0
709,Morgan_fp_709,0
710,Morgan_fp_710,0
711,Morgan_fp_711,0
712,Morgan_fp_712,0
713,Morgan_fp_713,0
714,Morgan_fp_714,0
715,Morgan_fp_715,0
716,Morgan_fp_716,0
717,Morgan_fp_717,0
718,Morgan_fp_718,0
719,Morgan_fp_719,0
720,Morgan_fp_720,0
721,Morgan_fp_721,0
722,Morgan_fp_722,0
723,Morgan_fp_723,0
724,Morgan_fp_724,0
725,Morgan_fp_725,2
726,Morgan_fp_726,0
727,Morgan_fp_727,0
728,Morgan_fp_728,0
729,Morgan_fp_729,0
730,Morgan_fp_730,0
731,Morgan_fp_731,0
732,Morgan_fp_732,0
733,Morgan_fp_733,0
734,Morgan_fp_734,0
735,Morgan_fp_735,0
736,Morgan_fp_736,0
737,Morgan_fp_737,0
738,Morgan_fp_738,0
739,Morgan_fp_739,0
740,Morgan_fp_740,0
741,Morgan_fp_741,0
742,Morgan_fp_742,0
743,Morgan_fp_743,0
744,Morgan_fp_744,0
745,Morgan_fp_745,0
746,Morgan_fp_746,0
747,Morgan_fp_747,0
748,Morgan_fp_748,0
749,Morgan_fp_749,2
750,Morgan_fp_750,0
751,Morgan_fp_751,0
752,Morgan_fp_752,1
753,Morgan_fp_753,0
754,Morgan_fp_754,0
755,Morgan_fp_755,0
756,Morgan_fp_756,0
757,Morgan_fp_757,0
758,Morgan_fp_758,0
759,Morgan_fp_759,0
760,Morgan_fp_760,0
761,Morgan_fp_761,0
762,Morgan_fp_762,0
763,Morgan_fp_763,0
764,Morgan_fp_764,0
765,Morgan_fp_765,0
766,Morgan_fp_766,0
767,Morgan_fp_767,0
768,Morgan_fp_768,0
769,Morgan_fp_769,0
770,Morgan_fp_770,0
771,Morgan_fp_771,0
772,Morgan_fp_772,0
773,Morgan_fp_773,0
774,Morgan_fp_774,0
775,Morgan_fp_775,0
776,Morgan_fp_776,0
777,Morgan_fp_777,0
